experiment,base_name,ROI,channel,spot_count
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,25,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,26,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,27,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,28,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,29,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,30,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,31,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,32,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,33,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,34,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,35,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,36,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,37,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,38,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,39,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,40,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,41,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,42,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,43,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,44,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,45,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,46,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,47,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,48,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,49,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,50,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,51,2,7
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,52,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,53,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,54,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,55,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,56,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,57,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,58,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,59,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,60,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,61,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,62,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,63,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,64,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,65,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,66,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,67,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-001_003_MIP,68,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,1,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,2,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,3,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,4,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,5,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,6,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,7,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,8,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,9,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,10,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,11,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,12,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,13,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,14,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,15,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,16,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,17,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,18,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,19,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,20,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,21,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,22,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,23,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,24,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,25,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,26,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,27,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,28,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,29,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,30,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,31,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,32,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,33,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,34,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,35,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,36,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,37,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,38,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,39,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,40,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,41,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,42,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,43,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,44,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,45,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,46,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,47,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,48,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,49,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,50,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,51,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,52,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,53,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,54,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,55,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,56,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,57,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,58,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,59,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,60,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,61,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,62,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,63,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,64,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,65,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,66,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,67,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,68,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,69,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,70,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,71,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-004_003_MIP,72,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,1,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,2,2,11
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,3,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,4,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,5,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,6,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,7,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,8,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,9,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,10,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,11,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,12,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,13,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,14,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,15,2,8
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,16,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,17,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,18,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,19,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,20,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,21,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,22,2,8
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,23,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,24,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,25,2,7
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,26,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,27,2,7
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,28,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,29,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,30,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,31,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,32,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,33,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,34,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,35,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,36,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,37,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,38,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,39,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,40,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,41,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,42,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,43,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,44,2,7
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,45,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,46,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,47,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,48,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,49,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,50,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,51,2,9
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,52,2,6
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,53,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,54,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,55,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,56,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,57,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,58,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_drug_3_MMStack_Pos-2-000_001_MIP,59,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,1,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,2,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,3,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,4,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,5,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,6,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,7,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,8,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,9,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,10,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,11,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,12,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,13,2,1
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,14,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,15,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,16,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,17,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,18,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,19,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,20,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,21,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,22,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,23,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,24,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,25,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,26,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,27,2,5
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,28,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,29,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,30,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,31,2,0
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,32,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,33,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,34,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,35,2,4
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,36,2,3
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,37,2,2
02062025_AK_FISH_blood,02062025_AK_FISH_chr8-only_1_MMStack_Pos-1-002_004_MIP,38,2,2
